Crop,Disease,Farmer_Symptoms,Technical_Symptoms,Treatment,Prevention,RecoveryTime,processed_symptoms
Cupuacu,Root Rot,"Wilting and root decay, stunted growth on cupuacu, visible to the farmer.","Root Rot affecting Cupuacu. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Root Rot on Cupuacu as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Cupuacu,Bacterial Blight,"Water-soaked lesions, yellowing and wilting on cupuacu, visible to the farmer.","Bacterial Blight affecting Cupuacu. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Bacterial Blight on Cupuacu as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Açaí,Leaf Spot,"Small spots on leaves, often brown or black on açaí, visible to the farmer.","Leaf Spot affecting Açaí. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Leaf Spot on Açaí as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Açaí,Powdery Mildew,"White powdery coating on leaf surfaces on açaí, visible to the farmer.","Powdery Mildew affecting Açaí. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Powdery Mildew on Açaí as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Açaí,Rust,"Orange/brown pustules on leaves and stems on açaí, visible to the farmer.","Rust affecting Açaí. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Rust on Açaí as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Açaí,Root Rot,"Wilting and root decay, stunted growth on açaí, visible to the farmer.","Root Rot affecting Açaí. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Root Rot on Açaí as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Açaí,Bacterial Blight,"Water-soaked lesions, yellowing and wilting on açaí, visible to the farmer.","Bacterial Blight affecting Açaí. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Bacterial Blight on Açaí as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Noni,Leaf Spot,"Small spots on leaves, often brown or black on noni, visible to the farmer.","Leaf Spot affecting Noni. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Leaf Spot on Noni as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Noni,Powdery Mildew,"White powdery coating on leaf surfaces on noni, visible to the farmer.","Powdery Mildew affecting Noni. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Powdery Mildew on Noni as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Noni,Rust,"Orange/brown pustules on leaves and stems on noni, visible to the farmer.","Rust affecting Noni. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Rust on Noni as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Noni,Root Rot,"Wilting and root decay, stunted growth on noni, visible to the farmer.","Root Rot affecting Noni. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Root Rot on Noni as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Noni,Bacterial Blight,"Water-soaked lesions, yellowing and wilting on noni, visible to the farmer.","Bacterial Blight affecting Noni. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Bacterial Blight on Noni as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Salak (Snake Fruit),Leaf Spot,"Small spots on leaves, often brown or black on salak (snake fruit), visible to the farmer.","Leaf Spot affecting Salak (Snake Fruit). Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Leaf Spot on Salak (Snake Fruit) as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Salak (Snake Fruit),Powdery Mildew,"White powdery coating on leaf surfaces on salak (snake fruit), visible to the farmer.","Powdery Mildew affecting Salak (Snake Fruit). Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Powdery Mildew on Salak (Snake Fruit) as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Salak (Snake Fruit),Rust,"Orange/brown pustules on leaves and stems on salak (snake fruit), visible to the farmer.","Rust affecting Salak (Snake Fruit). Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Rust on Salak (Snake Fruit) as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Salak (Snake Fruit),Root Rot,"Wilting and root decay, stunted growth on salak (snake fruit), visible to the farmer.","Root Rot affecting Salak (Snake Fruit). Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Root Rot on Salak (Snake Fruit) as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Salak (Snake Fruit),Bacterial Blight,"Water-soaked lesions, yellowing and wilting on salak (snake fruit), visible to the farmer.","Bacterial Blight affecting Salak (Snake Fruit). Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Bacterial Blight on Salak (Snake Fruit) as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Ackee,Leaf Spot,"Small spots on leaves, often brown or black on ackee, visible to the farmer.","Leaf Spot affecting Ackee. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Leaf Spot on Ackee as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Ackee,Powdery Mildew,"White powdery coating on leaf surfaces on ackee, visible to the farmer.","Powdery Mildew affecting Ackee. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Powdery Mildew on Ackee as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Ackee,Rust,"Orange/brown pustules on leaves and stems on ackee, visible to the farmer.","Rust affecting Ackee. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Rust on Ackee as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Ackee,Root Rot,"Wilting and root decay, stunted growth on ackee, visible to the farmer.","Root Rot affecting Ackee. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Root Rot on Ackee as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Ackee,Bacterial Blight,"Water-soaked lesions, yellowing and wilting on ackee, visible to the farmer.","Bacterial Blight affecting Ackee. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Bacterial Blight on Ackee as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Tamarind,Leaf Spot,"Small spots on leaves, often brown or black on tamarind, visible to the farmer.","Leaf Spot affecting Tamarind. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Leaf Spot on Tamarind as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Tamarind,Powdery Mildew,"White powdery coating on leaf surfaces on tamarind, visible to the farmer.","Powdery Mildew affecting Tamarind. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Powdery Mildew on Tamarind as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Tamarind,Rust,"Orange/brown pustules on leaves and stems on tamarind, visible to the farmer.","Rust affecting Tamarind. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Rust on Tamarind as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Tamarind,Root Rot,"Wilting and root decay, stunted growth on tamarind, visible to the farmer.","Root Rot affecting Tamarind. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Root Rot on Tamarind as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Tamarind,Bacterial Blight,"Water-soaked lesions, yellowing and wilting on tamarind, visible to the farmer.","Bacterial Blight affecting Tamarind. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Bacterial Blight on Tamarind as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Carambola (Star Fruit),Leaf Spot,"Small spots on leaves, often brown or black on carambola (star fruit), visible to the farmer.","Leaf Spot affecting Carambola (Star Fruit). Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Leaf Spot on Carambola (Star Fruit) as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Carambola (Star Fruit),Powdery Mildew,"White powdery coating on leaf surfaces on carambola (star fruit), visible to the farmer.","Powdery Mildew affecting Carambola (Star Fruit). Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Powdery Mildew on Carambola (Star Fruit) as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Carambola (Star Fruit),Rust,"Orange/brown pustules on leaves and stems on carambola (star fruit), visible to the farmer.","Rust affecting Carambola (Star Fruit). Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Rust on Carambola (Star Fruit) as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Carambola (Star Fruit),Root Rot,"Wilting and root decay, stunted growth on carambola (star fruit), visible to the farmer.","Root Rot affecting Carambola (Star Fruit). Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Root Rot on Carambola (Star Fruit) as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Carambola (Star Fruit),Bacterial Blight,"Water-soaked lesions, yellowing and wilting on carambola (star fruit), visible to the farmer.","Bacterial Blight affecting Carambola (Star Fruit). Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Bacterial Blight on Carambola (Star Fruit) as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Kaffir Lime,Leaf Spot,"Small spots on leaves, often brown or black on kaffir lime, visible to the farmer.","Leaf Spot affecting Kaffir Lime. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Leaf Spot on Kaffir Lime as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Kaffir Lime,Powdery Mildew,"White powdery coating on leaf surfaces on kaffir lime, visible to the farmer.","Powdery Mildew affecting Kaffir Lime. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Powdery Mildew on Kaffir Lime as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Kaffir Lime,Rust,"Orange/brown pustules on leaves and stems on kaffir lime, visible to the farmer.","Rust affecting Kaffir Lime. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Rust on Kaffir Lime as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Kaffir Lime,Root Rot,"Wilting and root decay, stunted growth on kaffir lime, visible to the farmer.","Root Rot affecting Kaffir Lime. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Root Rot on Kaffir Lime as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Kaffir Lime,Bacterial Blight,"Water-soaked lesions, yellowing and wilting on kaffir lime, visible to the farmer.","Bacterial Blight affecting Kaffir Lime. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Bacterial Blight on Kaffir Lime as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Bergamot,Leaf Spot,"Small spots on leaves, often brown or black on bergamot, visible to the farmer.","Leaf Spot affecting Bergamot. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Leaf Spot on Bergamot as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Bergamot,Powdery Mildew,"White powdery coating on leaf surfaces on bergamot, visible to the farmer.","Powdery Mildew affecting Bergamot. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Powdery Mildew on Bergamot as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Bergamot,Rust,"Orange/brown pustules on leaves and stems on bergamot, visible to the farmer.","Rust affecting Bergamot. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Rust on Bergamot as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Bergamot,Root Rot,"Wilting and root decay, stunted growth on bergamot, visible to the farmer.","Root Rot affecting Bergamot. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Root Rot on Bergamot as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Bergamot,Bacterial Blight,"Water-soaked lesions, yellowing and wilting on bergamot, visible to the farmer.","Bacterial Blight affecting Bergamot. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Bacterial Blight on Bergamot as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Yuzu,Leaf Spot,"Small spots on leaves, often brown or black on yuzu, visible to the farmer.","Leaf Spot affecting Yuzu. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Leaf Spot on Yuzu as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Yuzu,Powdery Mildew,"White powdery coating on leaf surfaces on yuzu, visible to the farmer.","Powdery Mildew affecting Yuzu. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Powdery Mildew on Yuzu as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Yuzu,Rust,"Orange/brown pustules on leaves and stems on yuzu, visible to the farmer.","Rust affecting Yuzu. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Rust on Yuzu as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Yuzu,Root Rot,"Wilting and root decay, stunted growth on yuzu, visible to the farmer.","Root Rot affecting Yuzu. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Root Rot on Yuzu as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Yuzu,Bacterial Blight,"Water-soaked lesions, yellowing and wilting on yuzu, visible to the farmer.","Bacterial Blight affecting Yuzu. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Bacterial Blight on Yuzu as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Dragon Fruit (Pitaya),Leaf Spot,"Small spots on leaves, often brown or black on dragon fruit (pitaya), visible to the farmer.","Leaf Spot affecting Dragon Fruit (Pitaya). Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Leaf Spot on Dragon Fruit (Pitaya) as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Dragon Fruit (Pitaya),Powdery Mildew,"White powdery coating on leaf surfaces on dragon fruit (pitaya), visible to the farmer.","Powdery Mildew affecting Dragon Fruit (Pitaya). Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Powdery Mildew on Dragon Fruit (Pitaya) as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Dragon Fruit (Pitaya),Rust,"Orange/brown pustules on leaves and stems on dragon fruit (pitaya), visible to the farmer.","Rust affecting Dragon Fruit (Pitaya). Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Rust on Dragon Fruit (Pitaya) as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Dragon Fruit (Pitaya),Root Rot,"Wilting and root decay, stunted growth on dragon fruit (pitaya), visible to the farmer.","Root Rot affecting Dragon Fruit (Pitaya). Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Root Rot on Dragon Fruit (Pitaya) as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Dragon Fruit (Pitaya),Bacterial Blight,"Water-soaked lesions, yellowing and wilting on dragon fruit (pitaya), visible to the farmer.","Bacterial Blight affecting Dragon Fruit (Pitaya). Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Bacterial Blight on Dragon Fruit (Pitaya) as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Pawpaw (Asimina triloba),Leaf Spot,"Small spots on leaves, often brown or black on pawpaw (asimina triloba), visible to the farmer.","Leaf Spot affecting Pawpaw (Asimina triloba). Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Leaf Spot on Pawpaw (Asimina triloba) as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Pawpaw (Asimina triloba),Powdery Mildew,"White powdery coating on leaf surfaces on pawpaw (asimina triloba), visible to the farmer.","Powdery Mildew affecting Pawpaw (Asimina triloba). Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Powdery Mildew on Pawpaw (Asimina triloba) as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Pawpaw (Asimina triloba),Rust,"Orange/brown pustules on leaves and stems on pawpaw (asimina triloba), visible to the farmer.","Rust affecting Pawpaw (Asimina triloba). Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Rust on Pawpaw (Asimina triloba) as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Pawpaw (Asimina triloba),Root Rot,"Wilting and root decay, stunted growth on pawpaw (asimina triloba), visible to the farmer.","Root Rot affecting Pawpaw (Asimina triloba). Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Root Rot on Pawpaw (Asimina triloba) as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Pawpaw (Asimina triloba),Bacterial Blight,"Water-soaked lesions, yellowing and wilting on pawpaw (asimina triloba), visible to the farmer.","Bacterial Blight affecting Pawpaw (Asimina triloba). Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Bacterial Blight on Pawpaw (Asimina triloba) as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Cherimoya,Leaf Spot,"Small spots on leaves, often brown or black on cherimoya, visible to the farmer.","Leaf Spot affecting Cherimoya. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Leaf Spot on Cherimoya as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Cherimoya,Powdery Mildew,"White powdery coating on leaf surfaces on cherimoya, visible to the farmer.","Powdery Mildew affecting Cherimoya. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Powdery Mildew on Cherimoya as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Cherimoya,Rust,"Orange/brown pustules on leaves and stems on cherimoya, visible to the farmer.","Rust affecting Cherimoya. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Rust on Cherimoya as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Cherimoya,Root Rot,"Wilting and root decay, stunted growth on cherimoya, visible to the farmer.","Root Rot affecting Cherimoya. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Root Rot on Cherimoya as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Cherimoya,Bacterial Blight,"Water-soaked lesions, yellowing and wilting on cherimoya, visible to the farmer.","Bacterial Blight affecting Cherimoya. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Bacterial Blight on Cherimoya as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Sapodilla (different name),Leaf Spot,"Small spots on leaves, often brown or black on sapodilla (different name), visible to the farmer.","Leaf Spot affecting Sapodilla (different name). Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Leaf Spot on Sapodilla (different name) as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Sapodilla (different name),Powdery Mildew,"White powdery coating on leaf surfaces on sapodilla (different name), visible to the farmer.","Powdery Mildew affecting Sapodilla (different name). Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Powdery Mildew on Sapodilla (different name) as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Sapodilla (different name),Rust,"Orange/brown pustules on leaves and stems on sapodilla (different name), visible to the farmer.","Rust affecting Sapodilla (different name). Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Rust on Sapodilla (different name) as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Sapodilla (different name),Root Rot,"Wilting and root decay, stunted growth on sapodilla (different name), visible to the farmer.","Root Rot affecting Sapodilla (different name). Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Root Rot on Sapodilla (different name) as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Sapodilla (different name),Bacterial Blight,"Water-soaked lesions, yellowing and wilting on sapodilla (different name), visible to the farmer.","Bacterial Blight affecting Sapodilla (different name). Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Bacterial Blight on Sapodilla (different name) as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Cempedak,Leaf Spot,"Small spots on leaves, often brown or black on cempedak, visible to the farmer.","Leaf Spot affecting Cempedak. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Leaf Spot on Cempedak as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Cempedak,Powdery Mildew,"White powdery coating on leaf surfaces on cempedak, visible to the farmer.","Powdery Mildew affecting Cempedak. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Powdery Mildew on Cempedak as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Cempedak,Rust,"Orange/brown pustules on leaves and stems on cempedak, visible to the farmer.","Rust affecting Cempedak. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Rust on Cempedak as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
